COLE_BILINGUE;COLE_JORNADA;COLE_NATURALEZA;ESTU_GENERO;FAMI_ESTRATOVIVIENDA;FAMI_TIENECOMPUTADOR;FAMI_TIENEINTERNET;puntaje;;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[131-186);;
N;NOCHE;OFICIAL;F;Sin Estrato;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 3;No;Si;[353-409);;
N;TARDE;OFICIAL;M;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[131-186);;
N;MAÑANA;OFICIAL;M;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 3;No;Si;[131-186);;
N;COMPLETA;NO OFICIAL;M;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Sin Estrato;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;No;[298-353);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;Si;Si;[298-353);;
N;UNICA;OFICIAL;M;Estrato 1;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 3;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;COMPLETA;NO OFICIAL;F;Estrato 3;No;Si;[353-409);;
N;TARDE;OFICIAL;F;Estrato 5;No;Si;[131-186);;
N;TARDE;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;Si;Si;[298-353);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 3;No;Si;[186-298);;
S;TARDE;OFICIAL;F;Estrato 1;Si;Si;[131-186);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[131-186);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;COMPLETA;NO OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;COMPLETA;NO OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;TARDE;NO OFICIAL;M;Estrato 1;No;Si;[186-298);;
N;COMPLETA;NO OFICIAL;M;Estrato 3;Si;Si;[353-409);;
N;COMPLETA;NO OFICIAL;F;Estrato 3;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 3;Si;Si;[131-186);;
N;TARDE;OFICIAL;M;Estrato 2;No;No;[131-186);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;COMPLETA;NO OFICIAL;M;Estrato 2;No;Si;[353-409);;
N;MAÑANA;NO OFICIAL;M;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;No;No;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[131-186);;
N;MAÑANA;NO OFICIAL;F;Estrato 1;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 1;Si;Si;[353-409);;
N;MAÑANA;NO OFICIAL;M;Estrato 3;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Estrato 4;No;No;[186-298);;
N;COMPLETA;NO OFICIAL;M;Estrato 3;Si;Si;[298-353);;
N;UNICA;OFICIAL;M;Estrato 2;No;No;[131-186);;
N;NOCHE;OFICIAL;F;Estrato 2;No;No;[131-186);;
N;MAÑANA;OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 3;No;Si;[186-298);;
N;UNICA;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;NO OFICIAL;M;Estrato 3;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;Si;Si;[131-186);;
N;TARDE;OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;NOCHE;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;COMPLETA;NO OFICIAL;M;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 3;No;Si;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;Si;[131-186);;
N;MAÑANA;OFICIAL;M;Sin Estrato;No;No;[131-186);;
N;NOCHE;OFICIAL;M;Estrato 2;No;Si;[131-186);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[298-353);;
N;NOCHE;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;F;Sin Estrato;No;No;[131-186);;
N;TARDE;OFICIAL;F;Estrato 2;No;No;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 3;No;Si;[186-298);;
N;NOCHE;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;COMPLETA;NO OFICIAL;M;Estrato 3;Si;Si;[298-353);;
N;NOCHE;OFICIAL;M;Estrato 4;No;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 4;Si;Si;[298-353);;
N;MAÑANA;NO OFICIAL;M;Estrato 3;No;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Sin Estrato;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 3;Si;Si;[131-186);;
N;TARDE;OFICIAL;M;Sin Estrato;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 4;No;Si;[186-298);;
N;NOCHE;OFICIAL;M;Estrato 2;Si;Si;[131-186);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;No;[131-186);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;No;No;[186-298);;
N;TARDE;OFICIAL;M;Sin Estrato;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 4;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Sin Estrato;No;Si;[131-186);;
N;COMPLETA;OFICIAL;F;Estrato 1;No;No;[298-353);;
N;NOCHE;OFICIAL;F;Estrato 3;No;No;[131-186);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;NOCHE;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 4;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 5;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;Si;[131-186);;
N;COMPLETA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;No;Si;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;UNICA;OFICIAL;M;Estrato 3;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[131-186);;
N;MAÑANA;OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;COMPLETA;NO OFICIAL;M;Estrato 5;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 1;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;No;Si;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 4;No;No;[131-186);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;Si;No;[186-298);;
N;TARDE;NO OFICIAL;F;Sin Estrato;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;No;[131-186);;
N;NOCHE;OFICIAL;F;Estrato 5;No;No;[131-186);;
N;NOCHE;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 3;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;Si;Si;[186-298);;
N;NOCHE;OFICIAL;F;Sin Estrato;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 4;Si;Si;[298-353);;
N;COMPLETA;NO OFICIAL;F;Estrato 5;Si;Si;[298-353);;
N;TARDE;NO OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;No;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;No;No;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;No;No;[186-298);;
N;UNICA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 4;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;COMPLETA;NO OFICIAL;F;Estrato 2;Si;Si;[298-353);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[298-353);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[298-353);;
N;TARDE;OFICIAL;M;Estrato 2;No;No;[298-353);;
N;UNICA;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;UNICA;OFICIAL;F;Sin Estrato;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;Si;[131-186);;
N;MAÑANA;OFICIAL;F;Estrato 6;Si;No;[131-186);;
N;MAÑANA;NO OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 3;No;Si;[131-186);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 3;Si;Si;[298-353);;
N;COMPLETA;NO OFICIAL;F;Estrato 4;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;Si;[131-186);;
N;TARDE;OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;Si;Si;[353-409);;
N;MAÑANA;OFICIAL;F;Estrato 3;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;Si;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 3;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 3;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;Si;Si;[131-186);;
N;MAÑANA;NO OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Sin Estrato;No;No;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;Si;Si;[131-186);;
N;NOCHE;OFICIAL;F;Estrato 1;No;No;[131-186);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Sin Estrato;No;No;[131-186);;
N;COMPLETA;NO OFICIAL;F;Estrato 1;No;Si;[353-409);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;COMPLETA;NO OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Sin Estrato;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 3;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 4;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Sin Estrato;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 3;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;Si;Si;[298-353);;
N;TARDE;OFICIAL;M;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;Si;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 1;Si;Si;[131-186);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;COMPLETA;OFICIAL;F;Estrato 1;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;Si;No;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;No;Si;[298-353);;
N;TARDE;NO OFICIAL;F;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Sin Estrato;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;NOCHE;OFICIAL;M;Estrato 1;No;No;[131-186);;
N;COMPLETA;NO OFICIAL;M;Sin Estrato;Si;No;[298-353);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;NOCHE;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;NOCHE;OFICIAL;M;Sin Estrato;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 4;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;NO OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;Si;Si;[298-353);;
N;COMPLETA;NO OFICIAL;M;Estrato 4;No;Si;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[131-186);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[131-186);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[298-353);;
N;NOCHE;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;TARDE;NO OFICIAL;F;Estrato 4;Si;Si;[131-186);;
N;MAÑANA;NO OFICIAL;F;Estrato 3;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;NO OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;Si;Si;[298-353);;
N;COMPLETA;NO OFICIAL;M;Estrato 3;Si;Si;[131-186);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 3;Si;Si;[298-353);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;NOCHE;OFICIAL;F;Sin Estrato;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;NOCHE;OFICIAL;F;Estrato 2;No;Si;[131-186);;
N;TARDE;OFICIAL;M;Estrato 2;No;Si;[298-353);;
N;MAÑANA;NO OFICIAL;F;Estrato 1;No;No;[186-298);;
N;COMPLETA;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;Si;[131-186);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;Si;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 4;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;No;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Estrato 2;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Estrato 1;No;No;[131-186);;
N;NOCHE;OFICIAL;M;Estrato 3;Si;No;[186-298);;
N;NOCHE;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 1;No;Si;[186-298);;
N;NOCHE;OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 1;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 4;Si;Si;[186-298);;
S;TARDE;OFICIAL;M;Estrato 1;No;Si;[131-186);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 3;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 3;Si;No;[131-186);;
N;TARDE;NO OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 3;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 3;No;Si;[298-353);;
N;MAÑANA;OFICIAL;F;Sin Estrato;No;No;[131-186);;
N;NOCHE;OFICIAL;M;Estrato 1;No;Si;[131-186);;
N;TARDE;OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 3;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 4;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 3;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 3;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 3;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 3;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 2;No;No;[298-353);;
N;NOCHE;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[298-353);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;NOCHE;OFICIAL;M;Sin Estrato;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;TARDE;NO OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;COMPLETA;NO OFICIAL;M;Estrato 3;Si;Si;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;UNICA;OFICIAL;M;Estrato 3;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Sin Estrato;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;Si;Si;[298-353);;
N;NOCHE;OFICIAL;M;Estrato 3;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;Si;[131-186);;
N;UNICA;OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[298-353);;
N;NOCHE;OFICIAL;F;Estrato 2;No;No;[131-186);;
N;COMPLETA;NO OFICIAL;F;Estrato 5;Si;Si;[298-353);;
N;MAÑANA;NO OFICIAL;M;Estrato 1;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 1;No;No;[298-353);;
N;MAÑANA;OFICIAL;M;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 3;Si;Si;[298-353);;
N;TARDE;OFICIAL;M;Estrato 3;No;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 2;Si;Si;[131-186);;
N;COMPLETA;NO OFICIAL;F;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 2;No;No;[131-186);;
N;TARDE;OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;Si;Si;[131-186);;
N;TARDE;OFICIAL;M;Estrato 3;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 2;No;No;[186-298);;
N;COMPLETA;NO OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;M;Estrato 3;Si;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 3;Si;Si;[298-353);;
N;TARDE;OFICIAL;F;Estrato 1;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;F;Estrato 4;Si;Si;[131-186);;
N;MAÑANA;OFICIAL;M;Estrato 1;Si;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 5;Si;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 1;No;No;[131-186);;
N;TARDE;OFICIAL;M;Estrato 2;Si;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;No;No;[131-186);;
N;UNICA;OFICIAL;F;Estrato 2;Si;Si;[131-186);;
N;MAÑANA;OFICIAL;F;Estrato 4;No;Si;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 3;Si;Si;[298-353);;
N;MAÑANA;NO OFICIAL;F;Estrato 4;No;Si;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;Si;Si;[186-298);;
N;UNICA;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;COMPLETA;NO OFICIAL;F;Estrato 3;Si;Si;[186-298);;
N;UNICA;OFICIAL;M;Sin Estrato;No;No;[186-298);;
N;TARDE;OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;UNICA;OFICIAL;F;Estrato 4;No;Si;[186-298);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;No;Si;[186-298);;
N;TARDE;OFICIAL;F;Estrato 1;Si;Si;[186-298);;
N;TARDE;NO OFICIAL;M;Estrato 1;No;No;[131-186);;
N;MAÑANA;NO OFICIAL;M;Estrato 2;No;No;[186-298);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;Si;[131-186);;
N;MAÑANA;OFICIAL;M;Estrato 2;No;Si;[131-186);;
N;TARDE;OFICIAL;M;Estrato 1;No;No;[186-298);;
