"punt_global","cole_depto_ubicacion"
"337","VALLE"
"337","VALLE"
"288","BOGOTÁ"
"288","BOGOTÁ"
"208","ANTIOQUIA"
"208","ANTIOQUIA"
"216","CALDAS"
"216","CALDAS"
"238","ANTIOQUIA"
"238","ANTIOQUIA"
"293","META"
"293","META"
"288","BOGOTÁ"
"288","BOGOTÁ"
"157","RISARALDA"
"157","RISARALDA"
"307","VALLE"
"307","VALLE"
"339","VALLE"
"339","VALLE"
"255","SANTANDER"
"255","SANTANDER"
"236","BOLIVAR"
"236","BOLIVAR"
"193","SAN ANDRES"
"193","SAN ANDRES"
"307","VALLE"
"307","VALLE"
"239","BOGOTÁ"
"239","BOGOTÁ"
"213","ANTIOQUIA"
"213","ANTIOQUIA"
"298","RISARALDA"
"298","RISARALDA"
"249","BOGOTÁ"
"249","BOGOTÁ"
"251","VALLE"
"251","VALLE"
"203","VALLE"
"203","VALLE"
"197","META"
"197","META"
"306","MAGDALENA"
"306","MAGDALENA"
"335","BOGOTÁ"
"335","BOGOTÁ"
"196","RISARALDA"
"196","RISARALDA"
"297","VALLE"
"297","VALLE"
"170","BOLIVAR"
"170","BOLIVAR"
"223","VICHADA"
"223","VICHADA"
"257","CORDOBA"
"257","CORDOBA"
"274","ARAUCA"
"274","ARAUCA"
"243","META"
"243","META"
"231","BOLIVAR"
"231","BOLIVAR"
"286","SANTANDER"
"286","SANTANDER"
"208","VALLE"
"208","VALLE"
"330","RISARALDA"
"330","RISARALDA"
"214","ATLANTICO"
"214","ATLANTICO"
"210","VALLE"
"210","VALLE"
"338","NORTE SANTANDER"
"338","NORTE SANTANDER"
"245","ANTIOQUIA"
"245","ANTIOQUIA"
"300","CAUCA"
"300","CAUCA"
"338","CAUCA"
"319","GUAINIA"
"319","GUAINIA"
"219","ANTIOQUIA"
"219","ANTIOQUIA"
"249","MAGDALENA"
"249","MAGDALENA"
"257","NORTE SANTANDER"
"257","NORTE SANTANDER"
"225","ATLANTICO"
"225","ATLANTICO"
"325","CUNDINAMARCA"
"325","CUNDINAMARCA"
"254","BOGOTÁ"
"254","BOGOTÁ"
"313","ANTIOQUIA"
"313","ANTIOQUIA"
"294","BOYACA"
"294","BOYACA"
"186","LA GUAJIRA"
"186","LA GUAJIRA"
"325","VALLE"
"325","VALLE"
"237","ANTIOQUIA"
"237","ANTIOQUIA"
"299","CAUCA"
"198","TOLIMA"
"198","TOLIMA"
"229","ARAUCA"
"229","ARAUCA"
"233","ANTIOQUIA"
"233","ANTIOQUIA"
"199","PUTUMAYO"
"199","PUTUMAYO"
"223","SUCRE"
"223","SUCRE"
"235","BOGOTÁ"
"200","LA GUAJIRA"
"200","LA GUAJIRA"
"295","ANTIOQUIA"
"295","ANTIOQUIA"
"253","ANTIOQUIA"
"253","ANTIOQUIA"
"158","BOLIVAR"
"158","BOLIVAR"
"249","ANTIOQUIA"
"249","ANTIOQUIA"
"377","CESAR"
"377","CESAR"
"275","SANTANDER"
"275","SANTANDER"
"259","NARIÑO"
"259","NARIÑO"
"335","ANTIOQUIA"
"335","ANTIOQUIA"
"208","ARAUCA"
"208","ARAUCA"
"334","BOGOTÁ"
"334","BOGOTÁ"
"188","BOYACA"
"188","BOYACA"
"198","NARIÑO"
"198","NARIÑO"
"228","RISARALDA"
"228","RISARALDA"
"276","META"
"276","META"
"173","MAGDALENA"
"173","MAGDALENA"
"336","ANTIOQUIA"
"336","ANTIOQUIA"
"263","VALLE"
"263","VALLE"
"300","CORDOBA"
"300","CORDOBA"
"203","CHOCO"
"203","CHOCO"
"263","MAGDALENA"
"263","MAGDALENA"
"294","BOLIVAR"
"294","BOLIVAR"
"202","MAGDALENA"
"202","MAGDALENA"
"223","CESAR"
"223","CESAR"
"171","CAUCA"
"171","CAUCA"
"267","NARIÑO"
"267","NARIÑO"
"196","ANTIOQUIA"
"196","ANTIOQUIA"
"274","ATLANTICO"
"274","ATLANTICO"
"322","VALLE"
"322","VALLE"
"159","VALLE"
"159","VALLE"
"326","VALLE"
"200","ATLANTICO"
"200","ATLANTICO"
"329","BOYACA"
"329","BOYACA"
"195","BOYACA"
"195","BOYACA"
"159","ATLANTICO"
"159","ATLANTICO"
"213","BOLIVAR"
"213","BOLIVAR"
"289","NORTE SANTANDER"
"289","NORTE SANTANDER"
"338","SANTANDER"
"338","SANTANDER"
"259","CESAR"
"259","CESAR"
"268","SUCRE"
"268","SUCRE"
"289","ANTIOQUIA"
"289","ANTIOQUIA"
"351","VALLE"
"351","VALLE"
"275","VALLE"
"266","BOGOTÁ"
"266","BOGOTÁ"
